Gene,Achilles_common_essential (1912),Hart et al. [2017] core (684),Behan et al. [2019] pan-cancer (553),Hart et al. [2015] core (1580),A priori CEG set
MFAP1,1,0,1,1,3
MFN2,1,0,0,1,2
MIS12,1,0,0,0,1
MIS18A,1,0,0,1,2
MIS18BP1,1,0,0,1,2
MIX23,1,0,0,0,1
MKRN1,1,0,0,0,1
MLST8,1,0,0,1,2
MLX,1,0,0,0,1
MMS19,1,0,0,1,2
MMS22L,1,1,0,1,3
MNAT1,1,0,0,0,1
MOB4,1,0,0,0,1
MOCS3,1,0,0,1,2
MPHOSPH10,1,1,1,1,4
MRGBP,1,0,0,1,2
MRPL10,1,0,0,0,1
MRPL12,1,0,0,1,2
MRPL14,1,0,0,1,2
MRPL16,1,0,0,1,2
MRPL19,1,0,0,1,2
MRPL21,1,0,0,1,2
MRPL24,1,0,0,0,1
MRPL27,1,0,0,1,2
MRPL28,1,1,0,1,3
